Keyword,Aliases,Korean
yesstyle,,
rentox,,렌톡스
olive young,olive-young|olive.young|olive_young|oliveyoung|올영,올리브영
innisfree,,이니스프리
reedle shot,reedle-shot|reedle.shot|reedle_shot|reedleshot,리들샷
jolse,,
cell fusion c,cell-fusion-c|cell.fusion.c|cell_fusion_c|cellfusionc,셀퓨전씨
the whoo,the-whoo|the.whoo|the_whoo|thewhoo,더후
ohui,,오휘
belif,,빌리프
nabota,,나보타
jeuveau,,
merzy,,머지
missha,,미샤
a'pieu,a-pieu|a.pieu|a_pieu|ap|apieu,어퓨
madeca,,마데카
centellian,,센텔리안
innotox,,이노톡스
newlux,,뉴럭스
sulwhasoo,,설화수
laneige,,라네즈
iope,,아이오페
mamonde,,마몽드
cosrx,,코스알엑스
atopalm,,아토팜
real barrier,real-barrier|real.barrier|real_barrier|realbarrier,리얼베리어
rom&nd,romnd,롬앤
botulax,,
letybo,,레티보
wellage,,웰라쥬
shurink,,슈링크
volnewmer,,볼뉴머
ultraformer,,울트라포머
acropass,,아크로패스
tonymoly,,토니모리
boncept,,본셉
rejuran,,리쥬란
mixsoon,,믹순
peripera,,페리페라
goodal,,구달
juvegel,,쥬브겔
stylekorean,,스타일코리안
medicube,,메디큐브
age-r,age.r|age_r|ager,에이지알
booster pro,booster-pro|booster.pro|booster_pro|boosterpro,부스터프로
hi focus shot,hi-focus-shot|hi.focus.shot|hi_focus_shot|hifocusshot,하이포커스샷
sylfirm,,실펌
oligio,,올리지오
mighty patch,mighty-patch|mighty.patch|mighty_patch|mightypatch,마이티패치
manyo,,마녀공장
coolfase,,쿨페이즈
bbia,,삐아
juvelook,,쥬베룩
potenza,,포텐자
stylevana,,스타일바나
beauty of joseon,beauty-of-joseon|beauty.of.joseon|beauty_of_joseon|beautyofjoseon,조선미녀
dalba,,달바
anua,,아누아
hwahae,,화해 화장품
biodance,,바이오던스
numbuzin,,넘버즈인
be the skin,be-the-skin|be.the.skin|be_the_skin|betheskin,비더스킨
round lab,round-lab|round.lab|round_lab|roundlab,라운드랩
skin1004,,스킨천사
torriden,,토리든
tirtir,,티르티르